WEAK	56.0	Voltas 1.5T SAC 185 INV Vertis Elite	Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite	MRP 75990 / 47500	4504156	1200x1200	voltas-split-air-conditioner-1-5-ton-5-star-185inv-vertis-elite	capacity-ton=1.5, family=185inv, name=vertis+elite	0.0	[{"handle":"voltas-split-air-conditioner-1-5-ton-5-star-185inv-vertis-elite","title":"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite","score":56,"reasons":["capacity-ton=1.5","family=185inv","name=vertis+elite"]},{"handle":"voltas-split-air-conditioner-1-5-ton-5-star-185inv-vertis-elite-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite Gold","score":56,"reasons":["capacity-ton=1.5","family=185inv","name=vertis+elite"]},{"handle":"voltas-split-air-conditioner-1-5-ton-5-star-185inv-vertis-ai-zest-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis AI Zest Gold","score":36,"reasons":["capacity-ton=1.5","family=185inv","name=vertis"]}]
NONE	0	RFF270C / 2WPV100RBBD						no discriminating evidence	0	[]
WEAK	36.0	Voltas 1.5T SAC 183 INV Vertis Plush	Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis AI Zest Gold	MRP 66990 / 38000	4504075	1200x1200	voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-ai-zest-gold	capacity-ton=1.5, family=183inv, name=vertis	0.0	[{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-ai-zest-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis AI Zest Gold","score":36,"reasons":["capacity-ton=1.5","family=183inv","name=vertis"]},{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-zen-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zen Gold","score":36,"reasons":["capacity-ton=1.5","family=183inv","name=vertis"]},{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vertis-zenith-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vertis Zenith Gold","score":36,"reasons":["capacity-ton=1.5","family=183inv","name=vertis"]}]
MATCH	47.0	Voltas 1.5T WAC 185 INV Elite	Voltas Window Air Conditioner, 1.5 Ton, 5 Star - 185INV Elite	MRP 47990 / 39000	4011566	1200x1200	voltas-window-air-conditioner-1-5-ton-5-star-185inv-elite	capacity-ton=1.5, family=185inv, name=elite	18.0	[{"handle":"voltas-window-air-conditioner-1-5-ton-5-star-185inv-elite","title":"Voltas Window Air Conditioner, 1.5 Ton, 5 Star - 185INV Elite","score":47,"reasons":["capacity-ton=1.5","family=185inv","name=elite"]},{"handle":"voltas-window-air-conditioner-1-5-ton-2-star-182fs-elite","title":"Voltas Window Air Conditioner, 1.5 Ton, 2 Star - 182FS Elite","score":29,"reasons":["capacity-ton=1.5","name=elite"]},{"handle":"voltas-window-air-conditioner-1-5-ton-5-star-185inv-topaz","title":"Voltas Window Air Conditioner, 1.5 Ton, 5 Star - 185INV Topaz","score":27,"reasons":["capacity-ton=1.5","family=185inv"]}]
WEAK	36.0	Voltas 1.5T SAC 183 INV Vectra Aura	Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vectra Zenith Silver	MRP 60990 / 35000	4504054	1200x1200	voltas-split-air-conditioner-1-5-ton-3-star-183inv-vectra-zenith-silver	capacity-ton=1.5, family=183inv, name=vectra	0.0	[{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vectra-zenith-silver","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vectra Zenith Silver","score":36,"reasons":["capacity-ton=1.5","family=183inv","name=vectra"]},{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vectra-zen-silver","title":"Voltas Split Air Conditioner, 1.5 Ton,3 Star - 183INV Vectra Zen Silver","score":36,"reasons":["capacity-ton=1.5","family=183inv","name=vectra"]},{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183invhc-vectra-zenith","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INVHC Vectra Zenith","score":18,"reasons":["capacity-ton=1.5","name=vectra"]}]
WEAK	30.0	VOLTAS WATER HEATER AQUA PRIME 154VPBSI	Voltas Aqua Prime 4 Star Water Heater - 10L (2000 W)	MRP 11790 / 5990	4610034	1500x1500	voltas-aqua-prime-4-star-water-heater-10l-2000-w	name=aqua+prime	0.0	[{"handle":"voltas-aqua-prime-4-star-water-heater-10l-2000-w","title":"Voltas Aqua Prime 4 Star Water Heater - 10L (2000 W)","score":30,"reasons":["name=aqua+prime"]},{"handle":"voltas-aqua-prime-4-star-water-heater-15l-2000-w","title":"Voltas Aqua Prime 4 Star Water Heater - 15L (2000 W)","score":30,"reasons":["name=aqua+prime"]},{"handle":"voltas-aqua-prime-4-star-water-heater-25l-2000-w","title":"Voltas Aqua Prime 4 Star Water Heater - 25L (2000 W)","score":30,"reasons":["name=aqua+prime"]}]
WEAK	65.0	Voltas 1.5T SAC 183 INV Vectra Zen Silver	Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vectra Zenith Silver	MRP 60990 / 35000	4504054	1200x1200	voltas-split-air-conditioner-1-5-ton-3-star-183inv-vectra-zenith-silver	capacity-ton=1.5, family=183inv, name=vectra+zen+silver	0.0	[{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vectra-zenith-silver","title":"Voltas Split Air Conditioner, 1.5 Ton, 3 Star - 183INV Vectra Zenith Silver","score":65,"reasons":["capacity-ton=1.5","family=183inv","name=vectra+zen+silver"]},{"handle":"voltas-split-air-conditioner-1-5-ton-3-star-183inv-vectra-zen-silver","title":"Voltas Split Air Conditioner, 1.5 Ton,3 Star - 183INV Vectra Zen Silver","score":65,"reasons":["capacity-ton=1.5","family=183inv","name=vectra+zen+silver"]},{"handle":"voltas-split-air-conditioner-1-5-ton-5-star-185inv-vertis-elite-gold","title":"Voltas Split Air Conditioner, 1.5 Ton, 5 Star - 185INV Vertis Elite Gold","score":27,"reasons":["capacity-ton=1.5","name=zen+silver"]}]
WEAK	99.0	Voltas Air Cooler Victor 55	Voltas Desert Air Cooler Victor 55	MRP 15090 / 10390	4810341	1080x1081	4810225-voltas-air-cooler-victor-55	model=victor55, name=victor	0.0	[{"handle":"4810225-voltas-air-cooler-victor-55","title":"Voltas Desert Air Cooler Victor 55","score":99,"reasons":["model=victor55","name=victor"]},{"handle":"voltas-victor-55-dx","title":"Voltas Victor 55 DX","score":99,"reasons":["model=victor55","name=victor"]},{"handle":"4810229-voltas-air-cooler-mega-70","title":"Desert Air Cooler Mega 70","score":1,"reasons":[]}]
NONE	0	Voltas 1.5T WAC183INV CORAL						no discriminating evidence	0	[]
NONE	0	Voltas 1.5T WAC183INV CRYSTAL						no discriminating evidence	0	[]
